SPY,QQQ,TLT
5.95318260e-03,5.38763366e-03,3.42075940e-04
1.90006473e-03,9.67656823e-03,-6.28769274e-03
-8.84919465e-03,-2.02237114e-02,-1.37666617e-03
-4.60759417e-03,-4.66546720e-03,1.94979980e-03
2.84404979e-03,5.95838969e-03,8.02373816e-04
9.97619895e-04,6.17883356e-03,-9.16549857e-04
9.76706886e-03,1.83116949e-02,5.03021344e-03
4.01702788e-03,6.78130815e-03,4.55958746e-04
7.52450495e-05,1.00120968e-03,-2.28244505e-03
2.34425736e-03,3.57162168e-03,-7.99155846e-04
1.36322729e-03,2.49087445e-04,-1.60275830e-03
-2.50042168e-03,-6.75204618e-03,1.11606536e-02
5.29698165e-03,1.44496497e-02,1.47112364e-03
-4.84193206e-03,-6.20338163e-03,9.11790346e-03
-3.03774948e-03,-7.74490625e-03,4.91847835e-03
7.65266060e-03,1.74043470e-02,7.00094007e-03
8.26882209e-03,4.91783341e-03,-4.21735806e-03
1.19759894e-03,-1.22738448e-03,-2.89475625e-03
-3.74505891e-04,2.69791063e-03,-1.67371226e-03
-8.23093046e-04,-4.41764297e-03,-1.22992581e-03
-3.75003664e-03,-1.26259460e-02,2.73566211e-03
2.10206208e-03,4.22590686e-03,-1.34418814e-03
1.16297835e-02,2.42633143e-02,7.26197482e-03
1.92541828e-03,4.83090099e-03,-7.03795048e-03
-1.25885148e-03,-2.17115248e-03,-1.04805147e-02
5.92473909e-04,3.37473029e-03,2.71399049e-03
1.33150042e-03,1.68412167e-03,-7.93902203e-03
-1.18323379e-03,-1.92431349e-03,-2.96603413e-03
8.62195708e-03,1.57632650e-02,5.71968598e-04
2.56480317e-03,5.43517309e-03,-5.03623762e-03
1.53609904e-03,9.42910306e-04,4.46426902e-03
-3.14757797e-03,-1.11287672e-02,8.00842559e-04
1.31886568e-03,-4.77304052e-03,2.05129140e-03
1.60983781e-03,2.38910196e-03,-1.82368379e-03
2.18874486e-04,2.38393856e-03,-1.02845016e-03
4.59355169e-03,1.01858569e-02,-4.00507653e-03
2.97760010e-03,-6.85824276e-03,0.00000000e+00
3.40344360e-03,6.85824276e-03,7.88128042e-03
3.10319197e-03,9.15017698e-03,6.46484985e-03
-6.28914115e-03,-1.43481749e-02,4.62477881e-03
-7.24820526e-04,6.37584093e-03,2.80918997e-03
-1.45281930e-04,2.35174167e-03,7.71166038e-03
-6.77281435e-03,-1.37154415e-02,5.51794705e-03
-5.84568897e-04,9.52347018e-04,-4.12079587e-03
-1.75584016e-03,-2.62026251e-03,-1.19035556e-02
1.12157225e-02,1.44434078e-02,2.93369555e-03
3.83072614e-03,6.79417883e-03,4.60691936e-03
2.16201908e-03,4.65810701e-03,3.58051453e-03
-5.26886510e-03,-4.65810701e-03,-5.58810914e-04
4.33759272e-04,4.65810701e-03,4.34972707e-03
2.45653254e-03,1.01740624e-02,-2.22389513e-04
7.47691637e-03,1.05264049e-02,3.88821946e-03
2.86099500e-03,4.08928595e-03,-3.77733307e-03
2.56765002e-03,4.29771014e-03,-4.57320225e-03
2.84636184e-04,0.00000000e+00,5.68571067e-03
5.69810197e-04,2.02935510e-03,1.55457270e-03
9.95997248e-04,1.35098687e-03,2.43945834e-03
1.98863417e-03,6.27982015e-03,1.65984743e-03
-4.05274490e-03,-1.79009972e-03,1.76797666e-03
-1.38469295e-02,-2.28803438e-02,3.63451716e-03
4.32528959e-03,2.97429528e-03,2.08652306e-03
1.03764250e-02,6.83074249e-03,-2.30702399e-03
4.27079668e-04,-6.81545379e-04,6.57721803e-03
-2.20872674e-03,-8.66576437e-03,2.54080957e-03
7.60169055e-03,1.36487121e-02,1.74858433e-03
4.30843270e-03,3.60876738e-03,-4.70664301e-03
-8.46322201e-04,-3.60876738e-03,-1.97742737e-03
-4.38257048e-03,-1.27328638e-02,-7.68215428e-04
1.84053890e-03,4.56690501e-03,-7.28808231e-03
2.89478510e-03,3.63759492e-03,4.31245699e-03
-7.75989866e-04,-5.91874575e-03,2.09521427e-03
1.05787115e-03,1.82531644e-03,-8.95938166e-03
8.77241861e-03,1.11041877e-02,-3.67323951e-03
9.08997404e-05,2.56926824e-03,5.57459893e-04
-2.74365754e-03,-9.95250491e-03,3.33981769e-04
1.90064023e-03,-3.18772570e-03,-1.33667539e-03
-5.62483372e-04,-3.65507724e-03,-1.12301490e-04
-3.66522220e-03,-7.12080383e-03,5.00877165e-03
-6.16248395e-03,-1.04279051e-02,-7.68984319e-03
5.87989766e-03,4.18391010e-03,3.01573988e-03
6.54765067e-03,5.09067148e-03,-7.37968450e-03
-2.10769987e-03,-4.85795844e-03,-2.25762239e-03
-4.15736450e-03,9.26596417e-04,-7.91436979e-04
